word,flipped
A,N
a,N
ail,Fin
Ana,Nan
ana,Nan
anes,Sean
ani,Ian
B,V
b,V
D,U
d,U
daer,Renu
dain,Ainu
doit,Tiou
dunk,Kadu
E,E
e,E
earn,Arne
eer,Ree
Emim,Mime
etna,Nate
F,L
f,L
feu,Del
fou,Dol
G,W
g,W
H,H
h,H
I,I
i,I
ife,Eli
Imer,Remi
it,Ti
K,K
k,K
Ko,Ok
ko,Ok
kor,Rok
L,F
l,F
lief,Leif
Lif,Lif
M,M
m,M
me,Em
Mime,Emim
mime,Emim
Mina,Naim
mina,Naim
mot,Tom
N,A
n,A
naif,Lina
Naim,Mina
Nan,Ana
nan,Ana
Nana,Nana
nana,Nana
nef,Lea
neti,Itea
nife,Elia
Nip,Pia
nip,Pia
Nuda,Nuda
nun,Ada
O,O
o,O
of,Lo
oh,Ho
Ok,Ko
om,Mo
omit,Timo
on,Ao
or,Ro
Oto,Oto
Otto,Otto
otto,Otto
P,P
p,P
pea,Nep
Pia,Nip
pia,Nip
Pop,Pop
pop,Pop
Q,Y
q,Y
quan,Andy
quant,Tandy
R,R
r,R
ref,Ler
Remi,Imer
rep,Per
Robert,Trevor
room,Moor
rot,Tor
row,Gor
S,S
s,S
seek,Kees
seer,Rees
seg,Wes
Seres,Seres
seton,Aotes
sew,Ges
Sis,Sis
sis,Sis
sisi,Isis
snirt,Trias
so,Os
sore,Eros
sov,Bos
sud,Uds
T,T
t,T
tea,Net
tint,Tait
toil,Fiot
tou,Dot
Trevor,Robert
U,D
u,D
Ud,Ud
ut,Td
V,B
v,B
W,G
w,G
waik,King
wait,Ting
want,Tang
wem,Meg
wo,Og
X,X
x,X
Y,Q
y,Q
I,I
a,N
of,Lo
on,Ao
or,Ro
room,Moor
so,Os
