word,flipped,flipped & swapped
A,n,a
a,n,a
ad,un,ga
Ada,nun,aga
ae,en,ta
aes,sen,
ago,own,
ai,in,ma
ail,fin,
aim,min,
aint,tain,
Ainu,dain,
airt,trin,
ait,tin,
an,an,na
Ana,nan,ana
ana,nan,ana
anan,anan,nana
Andy,quan,
anew,gean,
angor,rowan,
ant,tan,
antdom,moutan,
Ao,on,sa
Aotes,seton,
ardu,durn,
aril,firn,
arn,arn,
Arne,earn,
B,v,
b,v,
ber,rev,
Bos,sov,
D,u,g
d,u,g
da,nu,
daw,gnu,
de,eu,
Del,feu,
dhu,dhu,
Dol,fou,
dom,mou,
dos,sou,
Dot,tou,
dot,tou,
durn,ardu,
duro,ordu,
E,e,t
e,e,t
ea,ne,at
ease,esne,toat
edh,hue,
eel,fee,
eer,ree,
ego,owe,
eh,he,
eke,eke,
el,fe,
Eli,ife,
Elia,nife,
Em,me,it
em,me,it
eme,eme,tit
Emim,mime,
emir,rime,
emit,time,emit
en,ae,
epos,sope,
er,re,
erd,ure,
ere,ere,
Eros,sore,
eros,sore,
es,se,
esne,ease,
eu,de,
F,l,y
f,l,y
fe,el,
fee,eel,
feel,feel,
feeler,refeel,
feer,reel,
fent,tael,
fever,rebel,
few,gel,
Fin,ail,
fin,ail,
fink,kail,
Fiot,toil,
firn,aril,
fishet,tehsil,
fit,til,
fob,vol,
fool,fool,
foot,tool,
footer,retool,
foots,stool,
footstool,footstool,
fop,pol,
fot,tol,
fow,gol,
frib,virl,
frig,wirl,
frit,tirl,
G,w,d
g,w,d
gean,anew,
gel,few,
gem,mew,
Ges,sew,
get,tew,
gnaw,gnaw,
gnu,daw,
go,ow,
goa,now,
gob,vow,
gog,wow,
gol,fow,
Gor,row,
gor,row,
gorer,rerow,
gos,sow,
got,tow,
H,h,
h,h,
hant,tanh,
he,eh,
her,reh,
Ho,oh,
ho,oh,
hoop,pooh,
hop,poh,
hue,edh,
I,i,m
i,i,m
Ian,ani,nam
if,li,ym
ihi,ihi,
imi,imi,mim
immi,immi,
in,ai,
ingot,towai,
ink,kai,
irok,kori,
is,si,om
Isis,sisi,
it,ti,em
Itea,neti,
K,k,r
k,k,r
Kadu,dunk,
kai,ink,mar
kaik,kink,
kail,fink,
kaiser,resink,
kans,sank,
keek,keek,
keep,peek,
Kees,seek,
kef,lek,
kina,naik,
King,waik,
king,waik,
kink,kaik,
kip,pik,
knet,teak,
kori,irok,
kos,sok,
L,f,q
l,f,q
Lea,nef,
lea,nef,
leer,reef,
Leif,lief,
lek,kef,
Ler,ref,
li,if,
lier,reif,
Lina,naif,
lina,naif,
ling,waif,
Lo,of,
lo,of,
lof,lof,
loof,loof,
loop,poof,
lots,stof,
M,m,i
m,m,i
me,em,ti
meet,teem,
Meg,wem,
mem,mem,
mesem,mesem,
meter,retem,
mew,gem,
mho,ohm,
mib,vim,
mig,wim,
mim,mim,imi
min,aim,
mir,rim,
Mo,om,si
mo,om,si
Moor,room,
moor,room,
moot,toom,
mop,pom,
mou,dom,
moutan,antdom,
N,a,n
n,a,n
na,na,an
naif,lina,
naik,kina,
Naim,mina,
nais,sina,
Nan,ana,nan
nan,ana,nan
Nana,nana,anan
nana,nana,anan
nant,tana,
nard,urna,
Nate,etna,tean
ne,ea,
nea,nea,
nef,lea,
Nep,pea,
nep,pea,
Net,tea,
net,tea,
nib,via,
Nip,pia,
nip,pia,
niter,retia,
noa,noa,
noop,pooa,
not,toa,
now,goa,
nu,da,
numda,numda,
O,o,s
o,o,s
of,lo,
Og,wo,
oh,ho,
ohm,mho,
oho,oho,
Ok,ko,
om,mo,is
ons,sao,ons
ordu,duro,
Os,so,os
os,so,os
Otto,otto,
otto,otto,
outdo,outdo,
ow,go,us
owe,ego,
own,ago,
P,p,x
p,p,x
pea,nep,
peek,keep,
peep,peep,
pep,pep,
Per,rep,
per,rep,
Pia,nip,
pia,nip,
pik,kip,
pip,pip,
pir,rip,
pit,tip,
poh,hop,
pol,fop,
pom,mop,
pooa,noop,
poof,loop,
pooh,hoop,
poop,poop,
poot,toop,
Pop,pop,
pop,pop,
pot,top,
Q,y,l
q,y,l
quad,undy,
quandy,quandy,
queer,reedy,
quis,sidy,
quit,tidy,
quot,tody,
R,r,k
r,r,k
re,er,
rebel,fever,
Ree,eer,
ree,eer,
reedy,queer,
reef,leer,
reel,feer,
Rees,seer,
reet,teer,
refeel,feeler,
refit,tiler,
refoot,tooler,
reg,wer,
reges,sewer,
reget,tewer,
reh,her,
reif,lier,
reis,sier,
reit,tier,
reiter,retier,
remeet,teemer,
remit,timer,
renet,teaer,
Renu,daer,
rep,per,
report,troper,
repot,toper,
rerig,wirer,
rerow,gorer,
resink,kaiser,
retem,meter,
retia,niter,
retier,reiter,
retool,footer,
retter,retter,
rev,ber,
rig,wir,
rim,mir,
rime,emir,
rip,pir,
Ro,or,
Rok,kor,
room,moor,
rot,tor,
rotor,rotor,
row,gor,
rowan,angor,
S,s,o
s,s,o
sank,kans,
sans,sans,
sao,ons,sao
se,es,to
Sean,anes,
sen,aes,
sewer,reges,
si,is,mo
sib,vis,
sidy,quis,
sier,reis,
sig,wis,
sina,nais,
siris,siris,
Sis,sis,
sis,sis,
so,os,so
sok,kos,
sope,epos,
sore,eros,
sou,dos,
sow,gos,
spig,wips,
spot,tops,
stof,lots,
stog,wots,
stool,foots,
suds,suds,
swot,togs,
T,t,e
t,t,e
tael,fent,
tain,aint,
taint,taint,
Tait,tint,
tait,tint,
tan,ant,nae
tana,nant,
Tandy,quant,
Tang,want,
tang,want,
tanh,hant,
Td,ut,ge
tea,net,ate
teaer,renet,
teak,knet,rate
teem,meet,
teemer,remeet,
teer,reet,
teet,teet,
teg,wet,
tehsil,fishet,
terret,terret,
tew,get,
tewer,reget,
Ti,it,me
ti,it,me
tidy,quit,
tier,reit,
tig,wit,
til,fit,
tiler,refit,
time,emit,time
timer,remit,
Timo,omit,sime
tin,ait,
Ting,wait,
ting,wait,
tint,tait,
Tiou,doit,
tip,pit,
tirl,frit,
tit,tit,eme
toa,not,ase
tody,quot,
tog,wot,
togs,swot,
tol,fot,
Tom,mot,
tool,foot,
tooler,refoot,
toom,moot,
toop,poot,
toot,toot,
top,pot,
toper,repot,
tops,spot,
Tor,rot,
tor,rot,
tort,trot,
tot,tot,
tou,dot,
tow,got,use
towai,ingot,
Trias,snirt,
trin,airt,
trog,wort,
troper,report,
trot,tort,
tst,tst,
U,d,w
u,d,w
uang,wand,
Uds,sud,
un,ad,
undy,quad,
unhad,unhad,
unmad,unmad,
unsad,unsad,
urd,urd,
ure,erd,
urna,nard,
V,b,j
v,b,j
via,nib,
vim,mib,
virl,frib,
vis,sib,
vog,wob,
vol,fob,
vow,gob,
W,g,u
w,g,u
waif,ling,
waik,king,
wait,ting,
waiting,waiting,
wand,uang,
wang,wang,
want,tang,
wer,reg,
Wes,seg,
wet,teg,
wig,wig,
wim,mig,imu
wips,spig,
wir,rig,
wirer,rerig,
wirl,frig,
wis,sig,
wit,tig,emu
wob,vog,
wog,wog,
wort,trog,
wot,tog,
wots,stog,
wow,gog,
X,x,p
x,x,p
Y,q,f
y,q,f
I,i,m
a,n,a
ant,tan,
foot,tool,
get,tew,
go,ow,
he,eh,
if,li,ym
in,ai,
ink,kai,
keep,peek,
net,tea,
not,toa,
now,goa,
of,lo,
pot,top,
room,moor,
so,os,so
time,emit,time
tin,ait,
top,pot,
waiting,waiting,
wet,teg,
