word,flipped,fl & sw
ad,,Ga
Adai,,Maga
aga,,Ada
Agag,,Dada
ai,,Ma
ail,Fin,
aim,,Ima
Akra,,Akra
akra,,Akra
Amia,,Amia
Ana,Nan,Ana
ana,Nan,Ana
anan,,Nana
anes,Sean,
ani,Ian,
Anna,,Anna
anna,,Anna
ara,,Aka
area,,Atka
aroar,,Kaska
aute,,Tewa
cos,,Osc
Dada,,Agag
dada,,Agag
daer,Renu,
dain,Ainu,
doit,Tiou,
dunk,Kadu,
earn,Arne,
eer,Ree,
Emim,Mime,
etna,Nate,
fa,,Ay
far,,Kay
farse,,Tokay
Fay,,Fay
fay,,Fay
fear,,Katy
feu,Del,
fou,Dol,
Gad,,Gad
gad,,Gad
Ge,,Td
ge,,Td
iao,,Sam
ife,Eli,
Imer,Remi,
it,Ti,Em
kai,,Mar
Ko,Ok,
ko,Ok,
kor,Rok,
lief,Leif,
Lif,,
mae,,Tai
Maga,,Adai
me,Em,Ti
Miami,,Miami
Mimi,,Mimi
Mina,Naim,
mina,Naim,
moo,,Ssi
mot,Tom,
nag,,Dan
naif,Lina,
nais,,Oman
nak,,Ran
nake,,Tran
nam,,Ian
Nan,Ana,Nan
nan,Ana,Nan
Nana,,
nay,,Fan
nef,Lea,
neti,Itea,
nife,Elia,
Nip,Pia,
nip,Pia,
Nuda,,
nun,Ada,
of,Lo,
oh,Ho,
oki,,Mrs
om,Mo,
omit,Timo,
on,Ao,
or,Ro,
Os,,Os
os,,Os
Oto,,
Otto,,
owd,,Gus
owk,,Rus
pea,Nep,
Pop,,
quan,Andy,
quant,Tandy,
ref,Ler,
rep,Per,
Robert,Trevor,
room,Moor,
rose,,Tosk
rot,Tor,
row,Gor,
sa,,Ao
seek,Kees,
seer,Rees,
seg,Wes,
sense,,Tonto
Seres,,
seton,Aotes,
sew,Ges,
si,,Mo
simar,,Kaimo
sime,,Timo
Sis,,
sisi,Isis,
snirt,Trias,
sore,Eros,
sov,Bos,
sud,Uds,
Td,,Ge
tea,Net,
tean,,Nate
tear,,Kate
tew,,Ute
tint,Tait,
toil,Fiot,
tou,Dot,
tut,,Ewe
two,,Sue
Ud,,
waik,King,
wait,Ting,
want,Tang,
wem,Meg,
wo,Og,
Wu,,Wu
yar,,Kaf
far,,Kay
fear,,Katy
of,Lo,
on,Ao,
or,Ro,
room,Moor,
sense,,Tonto
